time,open,high,low,close,volume
2021-10-07 17:00:00,293.72,293.72,293.72,293.72,145
2021-10-07 16:30:00,293.72,293.72,293.72,293.72,203941
2021-10-07 16:00:00,293.47,293.95,292.7,293.71,98205
2021-10-07 15:30:00,293.59,294.19,293.45,293.52,18185
2021-10-07 15:00:00,294.25,294.47,293.66,293.66,12670
2021-10-07 14:30:00,294.5,294.69,294.155,294.26,6088
2021-10-07 14:00:00,295.5,295.5,294.19,294.5573,11254
2021-10-07 13:30:00,295.59,295.83,295.26,295.745,9625
2021-10-07 13:00:00,293.76,295.54,293.76,295.48,17878
2021-10-07 12:30:00,293.63,293.94,293.2608,293.69,8371
2021-10-07 12:00:00,293.22,293.7876,293.06,293.6,13303
2021-10-07 11:30:00,294.41,294.5,293.01,293.24,19566
2021-10-07 11:00:00,294.24,294.77,293.96,294.325,20860
2021-10-07 10:30:00,294.78,295.305,293.63,294.34,33795
2021-10-07 10:00:00,294.71,297.53,293.98,294.245,29993
2021-10-06 17:30:00,293.5,293.5,293.5,293.5,100
2021-10-06 16:30:00,292.84,292.84,292.84,292.84,9025
2021-10-06 16:00:00,292.15,293.13,291.64,292.83,64879
2021-10-06 15:30:00,291.81,292.2391,291.42,292.225,19374
2021-10-06 15:00:00,292.33,292.79,291.675,291.76,21187
2021-10-06 14:30:00,290.7,292.41,290.3,292.41,19093
2021-10-06 14:00:00,289.85,290.8,289.72,290.55,13926
2021-10-06 13:30:00,288.36,289.2,288.09,289.2,8075
2021-10-06 13:00:00,287.89,288.88,287.89,288.23,7272
2021-10-06 12:30:00,288.66,288.67,287.72,287.72,8328
2021-10-06 12:00:00,287.6,288.7899,286.64,288.69,11464
2021-10-06 11:30:00,289.27,289.57,287.531,287.74,16346
2021-10-06 11:00:00,288.84,289.57,287.92,289.39,14483
2021-10-06 10:30:00,289.65,289.65,287.17,288.71,20475
2021-10-06 10:00:00,288.16,290.2,286.79,289.3,37244
2021-10-05 17:00:00,289.6,289.6,289.6,289.6,334
2021-10-05 16:30:00,289.6,289.6,289.6,289.6,333888
2021-10-05 16:00:00,290.21,290.38,289.45,289.52,88232
2021-10-05 15:30:00,290.55,290.9,290.34,290.34,27034
2021-10-05 15:00:00,290.63,290.98,290.45,290.53,16274
2021-10-05 14:30:00,290.48,290.62,290.08,290.5475,9292
2021-10-05 14:00:00,290.08,290.5,289.75,290.39,13879
2021-10-05 13:30:00,289.35,289.95,289.34,289.95,7791
2021-10-05 13:00:00,289.71,289.88,288.96,289.41,12100
2021-10-05 12:30:00,289.22,290.8,289.12,289.88,12749
2021-10-05 12:00:00,290.52,290.52,289.01,289.01,12142
2021-10-05 11:30:00,290.25,290.8,289.78,290.4502,15170
2021-10-05 11:00:00,288.72,290.26,288.49,290.2,19591
2021-10-05 10:30:00,285.82,288.97,285.82,288.7,14151
2021-10-05 10:00:00,285.27,285.71,284.18,285.44,16104
2021-10-04 17:00:00,283.36,283.36,283.36,283.36,2047
2021-10-04 16:30:00,283.36,283.36,283.36,283.36,29004
2021-10-04 16:00:00,283.79,283.79,282.68,283.36,113987
2021-10-04 15:30:00,283.9573,284.255,282.88,283.8,44162
2021-10-04 15:00:00,283.985,284.71,283.6901,283.955,36821
2021-10-04 14:30:00,284.38,284.42,283.44,284.02,33673
2021-10-04 14:00:00,284.59,284.8,283.8,283.97,17517
2021-10-04 13:30:00,284.29,285.0,284.04,284.52,14822
2021-10-04 13:00:00,284.8,285.26,284.155,284.47,16145
2021-10-04 12:30:00,284.04,285.23,284.04,284.78,15066
2021-10-04 12:00:00,283.26,284.28,282.8094,284.2,21157
2021-10-04 11:30:00,283.3,283.87,282.7635,283.39,24027
2021-10-04 11:00:00,285.2,285.2,282.51,283.48,21458
2021-10-04 10:30:00,285.88,286.4965,284.525,285.07,26314
2021-10-04 10:00:00,285.39,287.0,283.87,285.755,26357
2021-10-01 16:30:00,285.53,285.53,285.53,285.53,10971
2021-10-01 16:00:00,286.3,286.32,285.135,285.53,86175
2021-10-01 15:30:00,286.42,287.56,286.14,286.14,24244
2021-10-01 15:00:00,286.205,286.47,285.62,286.25,19716
2021-10-01 14:30:00,286.1,286.54,286.005,286.22,19704
2021-10-01 14:00:00,284.87,286.78,284.87,286.105,23129
2021-10-01 13:30:00,283.79,285.15,283.64,284.95,26373
2021-10-01 13:00:00,283.82,284.48,283.73,283.8,26488
2021-10-01 12:30:00,284.05,284.05,283.41,283.78,24062
2021-10-01 12:00:00,282.64,284.1,282.6211,284.035,25640
2021-10-01 11:30:00,280.08,283.04,280.08,282.61,25717
2021-10-01 11:00:00,281.8,282.23,279.01,280.07,50084
2021-10-01 10:30:00,283.5,284.55,282.22,282.22,29042
2021-10-01 10:00:00,287.5,287.94,283.12,283.685,28845
2021-09-30 19:30:00,286.3,286.3,286.3,286.3,200
2021-09-30 16:30:00,285.98,285.98,285.98,285.98,19255
2021-09-30 16:00:00,288.97,289.7,285.34,285.8,248114
2021-09-30 15:30:00,289.825,290.14,288.78,289.0417,60590
2021-09-30 15:00:00,290.36,290.71,289.77,289.77,36654
2021-09-30 14:30:00,290.38,290.88,289.98,290.37,31650
2021-09-30 14:00:00,289.83,290.35,289.28,290.1,31267
2021-09-30 13:30:00,290.0062,290.42,289.31,289.78,30852
2021-09-30 13:00:00,288.945,290.08,288.61,289.7,31205
2021-09-30 12:30:00,290.27,290.56,288.91,289.35,40247
2021-09-30 12:00:00,293.765,293.765,290.3,290.51,35759
2021-09-30 11:30:00,294.48,295.04,293.48,293.7,22536
2021-09-30 11:00:00,296.23,296.445,294.32,294.6,16741
2021-09-30 10:30:00,296.33,297.27,295.91,296.44,25397
2021-09-30 10:00:00,295.03,296.44,293.91,295.92,29443
2021-09-29 17:00:00,293.17,293.17,293.17,293.17,2147
2021-09-29 16:30:00,293.17,293.17,293.17,293.17,6583
2021-09-29 16:00:00,294.94,295.06,292.89,293.43,95165
2021-09-29 15:30:00,295.32,295.45,294.41,294.96,30724
2021-09-29 15:00:00,294.63,295.44,294.2,295.31,37939
2021-09-29 14:30:00,292.81,295.17,292.81,294.4,21888
2021-09-29 14:00:00,293.49,293.58,292.615,292.68,28248
2021-09-29 13:30:00,292.75,293.74,292.3,293.54,25432
2021-09-29 13:00:00,292.44,292.79,292.121,292.77,11666
2021-09-29 12:30:00,293.0,293.0,292.19,292.45,16286
2021-09-29 12:00:00,292.65,293.56,292.65,293.12,15095
2021-09-29 11:30:00,292.48,293.08,291.85,292.57,22402
2021-09-29 11:00:00,291.93,292.34,291.05,292.34,35933
2021-09-29 10:30:00,294.16,294.39,292.005,292.005,19017
2021-09-29 10:00:00,296.06,297.2346,293.69,293.69,25143
2021-09-28 16:30:00,293.51,293.51,293.51,293.51,49857
2021-09-28 16:00:00,293.86,294.58,292.681,293.51,82794
2021-09-28 15:30:00,294.9258,295.0,293.83,294.03,18504
2021-09-28 15:00:00,294.21,295.08,293.68,294.63,14941
2021-09-28 14:30:00,293.66,294.43,293.35,294.43,14028
2021-09-28 14:00:00,294.69,294.69,293.62,293.68,16443
2021-09-28 13:30:00,292.68,294.94,292.435,294.94,13661
2021-09-28 13:00:00,292.87,293.135,292.45,292.78,11719
2021-09-28 12:30:00,293.08,293.75,292.15,293.03,14430
2021-09-28 12:00:00,293.3532,293.5,292.73,293.01,18268
2021-09-28 11:30:00,294.85,294.93,293.29,293.29,24178
2021-09-28 11:00:00,293.87,295.47,293.455,294.54,32866
2021-09-28 10:30:00,294.99,295.11,292.33,293.9,38800
2021-09-28 10:00:00,296.47,296.63,293.56,294.98,56069
