time,open,high,low,close,volume
2021-10-07 16:05:00,429.47,429.47,429.47,429.47,3540
2021-10-07 16:00:00,430.06,430.06,429.2,429.24,18891
2021-10-07 15:55:00,430.62,430.68,429.41,430.01,11524
2021-10-07 15:50:00,429.8,430.4,429.8,430.4,5348
2021-10-07 15:45:00,430.925,430.925,430.36,430.489,2672
2021-10-07 15:40:00,431.3,431.3,430.76,430.93,3261
2021-10-07 15:35:00,431.05,431.28,431.0,431.25,3172
2021-10-07 15:30:00,431.08,431.08,430.99,430.99,598
2021-10-07 15:25:00,431.42,431.59,431.36,431.36,2772
2021-10-07 15:20:00,431.325,431.62,431.3,431.55,1611
2021-10-07 15:15:00,431.15,431.43,431.05,431.235,1982
2021-10-07 15:10:00,430.64,431.39,430.64,431.385,933
2021-10-07 15:05:00,430.2,430.52,430.18,430.495,2684
2021-10-07 15:00:00,430.95,431.15,430.54,430.54,1521
2021-10-07 14:55:00,431.2,431.2,430.87,430.87,1580
2021-10-07 14:50:00,431.05,431.09,431.05,431.08,602
2021-10-07 14:45:00,431.55,431.61,431.22,431.25,1709
2021-10-07 14:40:00,431.89,431.98,431.585,431.585,1191
2021-10-07 14:35:00,432.06,432.115,432.06,432.115,290
2021-10-07 14:30:00,431.84,431.955,431.8,431.8087,1533
2021-10-07 14:25:00,432.19,432.34,432.01,432.01,1509
2021-10-07 14:20:00,432.45,432.46,432.26,432.26,2237
2021-10-07 14:15:00,432.76,432.845,432.57,432.71,1336
2021-10-07 14:10:00,433.01,433.01,432.885,432.885,373
2021-10-07 14:05:00,433.05,433.16,432.79,432.965,2289
2021-10-07 14:00:00,433.3,433.4075,433.09,433.09,1342
2021-10-07 13:55:00,433.325,433.33,433.05,433.21,1759
2021-10-07 13:50:00,432.84,433.44,432.73,433.32,2808
2021-10-07 13:45:00,432.92,432.92,432.74,432.74,1594
2021-10-07 13:40:00,433.995,433.995,432.8,432.82,2698
2021-10-07 13:35:00,433.67,433.795,433.67,433.795,799
2021-10-07 13:30:00,433.35,433.35,433.35,433.35,233
2021-10-07 13:25:00,433.17,433.38,433.17,433.38,865
2021-10-07 13:20:00,433.13,433.32,433.03,433.03,1881
2021-10-07 13:15:00,433.3975,433.3975,433.385,433.385,248
2021-10-07 13:10:00,433.68,433.68,433.49,433.49,1237
2021-10-07 13:05:00,433.49,433.68,433.49,433.68,694
2021-10-07 13:00:00,432.96,433.14,432.96,433.12,390
2021-10-07 12:55:00,432.885,433.04,432.795,433.02,1521
2021-10-07 12:50:00,432.94,432.97,432.94,432.97,671
2021-10-07 12:45:00,433.33,433.45,433.12,433.15,2186
2021-10-07 12:40:00,433.2,433.2,433.025,433.165,1171
2021-10-07 12:35:00,433.43,433.44,433.3,433.3,727
2021-10-07 12:30:00,433.24,433.41,433.24,433.41,414
2021-10-07 12:25:00,433.25,433.25,433.25,433.25,174
2021-10-07 12:20:00,433.23,433.34,432.83,433.07,4762
2021-10-07 12:15:00,433.53,433.6,433.23,433.23,1093
2021-10-07 12:10:00,433.77,433.77,433.15,433.15,2308
2021-10-07 12:05:00,433.89,434.17,433.88,434.14,1363
2021-10-07 11:55:00,433.73,434.02,433.73,433.93,469
2021-10-07 11:50:00,434.455,434.495,434.35,434.35,710
2021-10-07 11:45:00,434.66,434.78,434.475,434.51,1564
